5 , 3
7 , 1
9 , 8
17 , 4
18 , 17
19 , 16
21 , 14
23 , 12
25 , 10
26 , 8
27 , 9
36 , 17
37 , 35
39 , 33
41 , 31
44 , 10
48 , 28
49 , 27
50 , 27
54 , 51 - wrong
56 , 35 - wrong
57 , 36  
58 , 56
60 , 54
62 , 54
63 , 50
64 , 63
68 , 57
69 , 67
71 , 65
72 , 64
73 , 64
77 , 68
78 , 76
80 , 74
81 , 73
82 , 73
86 , 77
87 , 85
89 , 83
90 , 82
91 , 82
95 , 86
96 , 94
98 , 92
99 , 91
100 , 91
104 , 95
105 , 103
107 , 101
108 , 100
109 , 100
113 , 104
114 , 112
116 , 110
117 , 109
118 , 109
122 , 113
123 , 121
125 , 119
126 , 117 // till here
127 , 118
135 , 122
136 , 135
137 , 136
138 , 134
141 , 135
142 , 141
144 , 132
146 , 130
149 , 128
150 , 127
151 , 150
152 , 151
163 , 161   - wrong
164 , 161    - wrong
165 , 135
166 , 163
169 , 163
171 , 142    - wrong
173 , 163  - wrong
174 , 156
175 , 156   - wrong
176 , 152
178 , 152
186 , 165
187 , 184
189 , 179
190 , 178
191 , 190
196 , 194    - wrong
198 , 194
201 , 192
202 , 192
203 , 190
204 , 191   // till here
206 , 204   
213 , 186
214 , 212
216 , 207
217 , 206
218 , 206    - wrong ( 3 doubt)
225 , 213
226 , 224
228 , 171    - 4 doubt
230 , 222
232 , 222
233 , 219
234 , 218
235 , 234
240 , 225
241 , 239
246 , 235
248 , 246
249 , 248
253 , 240
254 , 253
255 , 254
256 , 252
259 , 228   - 5 doubt
261 , 249
262 , 249
263 , 262
264 , 263
265 , 259
269 , 253
270 , 268
272 , 266
273 , 261    - wrong
274 , 262
275 , 263
276 , 265
277 , 269
279 , 268
281 , 277    - wrong
282 , 273     
283 , 264    
284 , 228
287 , 50
288 , 171
289 , 259
290 , 273
292 , 127    - wrong
295 , 294
296 , 295
297 , 292
298 , 191
299 , 263
300 , 264
301 , 272   - wrong
303 , 268   - wrong
304 , 254
305 , 213
308 , 135
309 , 186   - wrong
310 , 213
311 , 241
312 , 241    - 7 doubt
314 , 228
316 , 284
317 , 285
318 , 8
320 , 8
323 , 321
324 , 294
325 , 324   - 8 wrongs
