(135, 5)
6,1
8,6
9,5
10,3
16,1
17,14
19,5
20,8
21,8
22,5
25,13
27,15
28,25
32,10
33,5
34,9
35,6
36,8
37,9
38,6
39,19
42,13
44,14
45,16
46,28
49,13
50,10
51,35
52,36
53,51
54,9
55,39
56,3
58,25
59,45
60,46
64,49
65,49
66,50
67,33
68,35
69,35
71,39
74,28
75,45
76,44
80,3
81,68
83,81
84,81
85,22
86,10
89,74
90,45
91,75
92,75
93,76
96,80
97,81
98,83
99,97
100,1
101,1
102,42
104,89
105,90
106,17
108,58
109,100
110,98
111,99
112,101
113,101
115,74
117,113
118,101
119,100
120,112
121,101
123,113
124,101
125,120
126,109
127,83
128,69
129,35
130,8
131,129
132,6
133,6
134,132
