5,3,1
6,1,1
8,6,1
10,5,0
17,15,1
19,10,1
20,8,1
21,8,1
26,16,1
28,25,1
30,18,0
32,22,1
33,22,1
34,22,1
35,21,1
36,21,1
38,36,1
39,37,0
45,16,0
45,26,1
46,44,0
48,30,0
49,39,1
50,39,1
51,38,1
52,38,1
53,38,1
54,37,0
55,39,0
56,50,0
59,45,1
60,58,1
63,48,0
64,56,1
65,56,1
66,55,1
67,54,1
68,53,1
69,53,1
75,59,1
76,74,1
77,61,0
80,71,1
81,69,1
83,81,1
84,81,1
87,73,0
90,75,1
91,75,1
92,90,1
93,89,1
94,88,1
96,86,1
97,84,1
98,84,1
99,97,1
100,98,0
101,99,0
105,92,1
106,93,0
106,104,1
108,102,1
109,100,1
110,100,0
111,109,0
112,105,0
113,105,0
115,104,1
117,113,1
118,109,0
118,112,1
119,112,0
120,97,0
123,121,1
125,101,1
126,109,1
127,84,1
128,36,1
129,6,1
130,6,0
131,1,0
132,121,0
133,123,0
134,123,0
