5,3
7,1
17,4
18,4
19,16
21,14
23,12
25,10
26,9
27,9
36,17
37,35
39,33
41,31
49,27
50,27
57,36
58,56
60,54
62,51
63,50
64,50
68,57
69,67
71,65
72,64
73,64
77,68
78,76
80,74
81,73
82,73
86,77
87,85
89,83
90,82
91,82
95,86
96,94
98,92
99,91
100,91
104,95
105,103
107,101
108,100
109,100
113,104
114,112
116,110
117,109
118,109
122,113
123,121
125,119
126,118
127,118
135,122
136,122
138,134
146,130
149,128
150,127
151,127
165,135
166,164
169,159
173,157
174,156
175,154
176,151
186,165
187,185
189,180
190,178
191,178
198,194
200,192
203,191
204,191
213,186
214,212
216,208
217,206
225,213
226,224
230,222
232,222
233,221
234,218
235,218
240,225
241,239
245,236
254,240
256,252
260,250
261,249
262,249
269,254
270,268
272,266
273,264
282,276
283,275
290,264
291,151
292,99
294,109
296,324
299,235
300,288
305,225
306,57
308,165
309,213
310,225
312,241
324,8
