9,7
11,4
23,8
24,22
26,20
28,17
30,15
31,13
32,13
41,23
42,40
44,38
46,36
53,33
54,32
55,32
62,41
63,61
65,59
67,56
68,55
69,55
73,62
74,72
76,70
77,69
78,69
82,73
83,81
85,79
86,78
87,78
91,82
92,90
94,88
95,87
96,87
100,91
101,99
103,97
104,96
105,96
109,100
110,100
111,108
113,106
114,105
115,105
119,109
120,118
122,116
123,115
124,115
128,119
129,127
131,125
132,124
133,124
141,128
142,140
149,139
151,136
154,134
155,133
156,133
168,141
169,167
172,164
174,162
176,160
179,177
186,168
187,168
188,185
190,181
191,179
192,179
199,187
202,196
206,193
208,192
209,192
211,209
217,199
218,216
220,212
221,211
228,217
229,227
233,224
234,224
235,223
236,222
237,222
243,228
244,242
247,239
250,248
251,248
257,243
260,256
263,253
264,251
265,251
266,264
267,265
268,266
272,259
273,271
275,269
276,267
277,266
285,279
286,278
291,231
293,276
294,208
294,277
294,237
295,124
296,87
296,115
297,32
299,68
301,115
303,265
304,276
305,275
307,273
308,272
309,199
310,91
311,168
312,243
315,260
320,145
327,11
328,12
