3,1
4,1
8,1
10,8
12,7
13,8
15,13
17,12
18,13
20,13
21,18
23,17
24,21
26,24
28,23
29,23
30,26
32,30
34,12
35,7
36,24
37,23
38,36
40,12
41,12
42,36
43,37
44,42
46,17
47,17
48,44
49,43
50,29
51,30
53,23
54,23
55,51
56,50
57,50
58,55
60,37
61,28
62,55
63,55
64,57
65,63
67,29
68,57
69,63
70,64
71,69
73,64
74,69
75,70
76,74
78,68
79,58
81,28
82,29
83,63
85,83
87,78
88,78
89,69
91,89
93,88
94,88
95,74
97,95
98,94
99,75
100,95
102,100
104,99
105,99
106,102
108,106
110,105
111,106
113,111
115,110
116,88
117,87
118,87
